Time [d]	u [m/s]	v [m/s]	Tair [deg C]	sol [W/m2]	vap [mbar]	lw [W/m2]	precip [m/h]
43152	2.34520554542542	0	-6.33457031249998	71.9376983642578	2.94116225289802	227.379608154297	0
43153	2.1792893409729	0	-5.68030395507799	41.9605484008789	3.32117169163511	242.837463378906	0
43154	3.02061033248901	0	-3.60016479492197	57.8543930053711	3.92387220501701	236.762588500977	0
43155	1.88540387153625	0	-4.265783691406	54.0992012023926	3.76821857067748	244.684310913086	7.00751267383264e-07
43156	3.92076849937439	0	-2.46091308593799	11.0643177032471	4.74761428636647	269.604064941406	1.46309361702556e-05
43157	2.98200345039368	0	-4.781500244141	43.5889930725098	4.0024296143839	258.191009521484	4.99366403043192e-06
43158	2.88611745834351	0	-1.95822753906197	21.9600448608398	4.73099270686104	261.765563964844	7.60035618441181e-06
43159	4.11877632141113	0	2.91665039062502	50.1413879394531	5.72920741921711	259.941375732422	1.50752460588895e-06
43160	4.61997175216675	0	-1.49066772460895	77.5261993408203	3.94899166129403	236.381927490234	1.40908153096259e-06
43161	5.11562252044678	0	0.536889648438034	63.6439628601074	4.75590369508315	255.674728393555	3.94832239989128e-06
43162	4.16790962219238	0	1.13149414062502	46.9239883422852	5.40550094949015	273.540161132812	0
43163	5.82017374038696	0	-2.413488769531	14.2873315811157	5.0171580377805	276.328918457031	2.71190300635579e-05
43164	2.422696352005	0	-1.40271606445299	95.7434310913086	4.04757889452172	243.711471557617	1.06493252537297e-06
43165	7.08014726638794	0	-1.840979003906	7.34238195419312	5.29812860006736	277.584503173828	6.8819160029913e-05
43166	2.20997738838196	0	-2.20050659179697	77.0442199707031	4.2683225872858	248.277374267578	1.43924151214176e-06
43167	2.84038782119751	0	-4.19736328124998	80.2433700561523	3.66628012009246	249.579467773438	1.85175223224279e-05
43168	3.74631142616272	0	-4.694738769531	51.7602310180664	4.04161152869405	266.990386962891	2.60910484131374e-05
43169	1.83689796924591	0	-4.40643920898395	82.7814788818359	3.5434125359716	248.127059936523	5.9725925893872e-06
43170	1.3337128162384	0	-6.72690429687498	107.545043945312	2.7700557340772	231.042098999023	0
43171	1.31363725662231	0	-7.85385742187498	89.7288970947266	2.77798700390831	248.059814453125	0
43172	2.47462677955627	0	-9.02228393554697	93.4930419921875	2.57813446720457	245.85400390625	1.05050705517189e-06
43173	3.4162495136261	0	-13.554083251953	114.594039916992	1.63442082137881	215.376724243164	0
43174	1.46643769741058	0	-15.158209228516	125.222213745117	1.36843989886014	201.946868896484	0
43175	2.340895652771	0	-10.085455322266	98.2499008178711	2.29596949224654	231.591690063477	0
43176	3.71763348579407	0	-3.52347412109395	101.089630126953	3.66192765703169	250.634185791016	0
43177	1.83831310272217	0	-3.978186035156	68.5207138061523	4.20706881660063	266.592895507812	1.0787140733252e-05
43178	3.28750801086426	0	-3.80872192382799	62.7513313293457	4.31798870891312	268.774871826172	2.46024339705602e-05
43179	2.36268472671509	0	-2.339117431641	101.935615539551	4.36373372261683	251.113464355469	8.1293531669265e-06
43180	2.23078584671021	0	-2.03986206054697	134.928466796875	3.9473824402733	235.945739746094	0
43181	3.46392250061035	0	-3.45300903320299	74.5173645019531	4.20532846239304	264.54833984375	2.33050357362825e-05
43182	2.88399982452393	0	0.581811523438034	21.0379409790039	6.3032287741761	289.601989746094	2.6161661581783e-05
43183	4.09900856018066	0	-0.889776611327989	50.8397636413574	5.53990765348523	282.861450195312	3.46566594089381e-05
43184	2.29950928688049	0	-0.279119873046966	38.656307220459	5.59727045999029	281.900421142578	2.2092450914594e-05
43185	2.30680871009827	0	0.0516906738280341	98.2639770507812	5.11962732603084	272.511627197266	1.2496809631557e-06
43186	1.73285841941833	0	-0.416143798827989	142.431747436523	4.53492443143419	250.85546875	0
43187	1.26645755767822	0	-1.20755615234395	95.0684204101562	4.43034145070829	266.11572265625	0
43188	1.35208535194397	0	0.594445800781045	95.532829284668	5.40719265186666	277.856140136719	3.29653201131603e-06
43189	2.87219047546387	0	0.0102783203120111	79.6917114257812	5.49104161134802	279.478485107422	3.52150568182372e-05
43190	2.87600779533386	0	-0.570166015624977	83.7670440673828	5.05403032031803	276.664916992188	2.06030543065733e-05
43191	3.19359445571899	0	-0.968572998046966	45.3676261901855	5.38354306871945	285.182769775391	4.31060147497597e-05
43192	2.82557368278503	0	0.416101074219	101.091888427734	5.45659095189314	278.505096435547	8.54863780356633e-06
43193	2.24618005752563	0	-0.454809570311966	112.662612915039	4.87344760521734	274.597534179688	9.78070981242733e-07
43194	1.13532686233521	0	-0.0707458496089544	161.215728759766	4.58269977128106	259.526489257812	0
43195	1.14085292816162	0	-0.434790039061966	167.91569519043	4.24802753586394	254.9130859375	0
43196	1.40304708480835	0	-1.09714355468799	122.187286376953	4.27423410366637	264.971160888672	2.72976952449729e-06
43197	2.22948217391968	0	-0.537390136718955	72.2591323852539	4.95376234528595	275.169464111328	9.45549497070411e-06
43198	1.78236651420593	0	2.520745849609	199.491058349609	5.15286829558776	246.787506103516	0
43199	1.59963941574097	0	3.12761840820303	201.776107788086	4.78595867107723	248.854827880859	0
43200	2.15169930458069	0	3.351159667969	182.353851318359	5.71638355997393	261.418487548828	6.43393352422411e-07
43201	2.47336864471436	0	2.22091064453105	187.318374633789	5.43166124171902	253.807647705078	4.46972055417267e-07
43202	1.51718926429749	0	-0.326696777343955	203.407852172852	4.37368655256592	248.091873168945	0
43203	1.26368021965027	0	-0.658941650391	131.242752075195	4.17947036422043	273.825439453125	1.06512781409644e-06
43204	1.72677648067474	0	0.0703979492190001	210.161026000977	4.00872527000468	252.643524169922	0
43205	1.54968106746674	0	-0.370825195311966	192.454055786133	3.99434509654027	250.775512695312	0
43206	1.69181656837463	0	1.97219238281201	165.638656616211	5.27328993856152	274.529937744141	2.47253562217035e-06
43207	1.28833842277527	0	1.94649658203105	61.7842826843262	6.48198645752472	293.62890625	6.00342445977731e-06
43208	1.62323248386383	0	2.74538574218803	180.19563293457	5.81276645140676	277.232696533203	0
43209	1.56498420238495	0	1.52926025390605	144.069671630859	6.0755237229108	283.801208496094	7.76458111633675e-06
43210	2.508305311203	0	0.871270751953034	116.845275878906	6.01510065783476	292.335327148438	1.10922186043657e-05
43211	2.75498223304749	0	0.697015380859	72.6490325927734	5.98650808507069	297.524444580078	1.78990679463216e-05
43212	2.2163507938385	0	0.902337646484	32.4197044372559	6.16484783597551	299.491790771484	4.78124113417128e-05
43213	1.04478549957275	0	2.63576660156201	124.569221496582	6.56601240932326	293.939178466797	1.04013745132963e-05
43214	1.58667576313019	0	3.13945922851605	212.747467041016	5.95870376563606	268.924499511719	2.63815561791287e-06
43215	1.68652737140656	0	3.275720214844	208.814315795898	5.63526718205268	277.627746582031	0
43216	3.04480314254761	0	3.07143554687502	137.485580444336	5.46977101457969	285.695373535156	1.96009990658139e-06
43217	2.94053864479065	0	0.390832519531045	219.229125976562	4.47864694200934	260.176849365234	1.33768551475239e-05
43218	2.48713254928589	0	0.862756347656045	221.23583984375	4.28350188656114	250.898773193359	1.71719496696217e-06
43219	1.77026283740997	0	-0.841223144531	215.785552978516	4.14498665688216	257.652770996094	1.20218816037878e-06
43220	2.26103854179382	0	0.670251464844	192.365768432617	3.87615322773442	265.967895507812	3.098738766817e-07
43221	1.96246755123138	0	-0.438146972656	207.46208190918	4.476078672513	261.075866699219	4.43851452776775e-06
43222	2.3173930644989	0	-0.192541503906	215.229843139648	4.69475708641708	259.003631591797	3.68077002753531e-06
43223	1.81430625915527	0	0.434838867188034	202.169281005859	5.36520023679457	269.250701904297	5.45651447383636e-06
43224	1.70128893852234	0	0.679254150391046	216.024475097656	5.22791677765578	271.382873535156	3.63128947356017e-06
43225	0.923867583274841	0	0.680078125000023	215.793243408203	4.96259836210842	264.504638671875	2.2566928237211e-06
43226	1.11278653144836	0	1.319177246094	209.74577331543	4.58790575989131	271.607879638672	1.03725634896061e-06
43227	2.37659764289856	0	2.037194824219	252.283950805664	4.20432888478626	256.707702636719	1.35453433358634e-06
43228	1.77266025543213	0	2.619378662109	253.178100585938	4.04104981111643	262.841339111328	0
43229	2.43963289260864	0	4.43694458007803	187.77912902832	5.63148253677744	290.436645507812	0
43230	1.99171233177185	0	6.213220214844	104.331748962402	7.70049720063793	307.624542236328	0
43231	3.65121507644653	0	11.097192382812	247.393783569336	9.11108206731854	302.602203369141	0
43232	3.28502917289734	0	9.48156127929701	193.483932495117	8.30572441107043	300.869720458984	3.71539354344147e-07
43233	1.90915441513062	0	8.03853759765605	205.860092163086	8.23779753106821	303.127166748047	8.35886314436922e-06
43234	2.9568464756012	0	7.81032714843803	50.6663818359375	10.1279642479573	325.650604248047	1.42519911605632e-05
43235	3.65240836143494	0	5.44616088867201	165.880096435547	8.14443169697305	308.76611328125	9.42393247290358e-06
43236	3.05527901649475	0	3.78472290039105	204.666976928711	6.58425681364503	286.918701171875	6.10938564528219e-06
43237	1.96708881855011	0	4.56652221679701	290.09716796875	4.07606879187282	260.965698242188	3.13869211115364e-07
43238	2.52604103088379	0	6.00628051757803	70.9145660400391	6.72955635876934	320.793029785156	2.52906506324911e-05
43239	2.83795928955078	0	5.97799072265605	91.3640365600586	8.86218015646935	317.120239257812	7.96187477034336e-06
43240	1.88473200798035	0	5.941735839844	141.388000488281	8.80300905352111	320.214233398438	1.53986719750618e-05
43241	2.29022479057312	0	9.87139282226605	206.356643676758	9.34813057343509	317.427856445312	2.01862005471614e-05
43242	2.58254766464233	0	7.29006347656201	105.435615539551	8.97299275304345	312.783599853516	2.48449133424502e-05
43243	2.37820291519165	0	5.86721191406201	254.28662109375	7.07899857075473	293.966156005859	6.31659026516395e-06
43244	2.83843064308167	0	6.188317871094	73.0374603271484	8.82421273533827	323.795135498047	3.73785951524042e-05
43245	1.62318253517151	0	8.03682861328105	219.636535644531	7.17150728874163	297.575805664062	3.57079746512075e-06
43246	2.65244722366333	0	7.18520507812502	15.5806770324707	9.54326593057544	336.904388427734	8.78843012388744e-06
43247	2.92217898368835	0	12.505181884766	238.712127685547	10.5414835671877	319.874816894531	0
43248	1.93802642822266	0	14.520288085938	233.472763061523	11.7296028574705	321.437377929688	2.14532115529033e-06
43249	2.73479175567627	0	16.786859130859	244.213363647461	14.1571020575312	328.705200195312	8.78698705896064e-06
43250	2.4631564617157	0	14.199945068359	302.999694824219	7.92711204368212	293.178771972656	0
43251	1.58063149452209	0	14.458184814453	261.307189941406	8.51888705572446	316.230895996094	1.83466366049995e-06
43252	1.04428315162659	0	16.077600097656	280.862091064453	10.6406831790093	312.832977294922	0
43253	1.51754093170166	0	16.692590332031	293.445831298828	9.74691347392544	307.144134521484	0
43254	1.63178300857544	0	17.343072509766	315.823669433594	8.05353962436148	295.071228027344	0
43255	1.85568749904633	0	16.952691650391	315.814086914062	9.0895838320969	299.559448242188	0
43256	1.78962016105652	0	13.778100585938	205.657821655273	11.3720453521798	326.248596191406	1.31581449143899e-05
43257	2.02432823181152	0	10.206231689453	194.274505615234	8.61020765276817	304.352386474609	2.71397139941756e-05
43258	1.64198613166809	0	12.318109130859	306.735290527344	7.01882961149595	286.464874267578	0
43259	1.74302840232849	0	13.830438232422	312.050048828125	9.29679711997055	295.115386962891	0
43260	1.55602753162384	0	13.537866210938	300.187652587891	9.92999896536237	298.736145019531	0
43261	1.32441067695618	0	13.134576416016	289.430389404297	8.87999640248099	302.813171386719	0
43262	2.48323750495911	0	10.020989990234	233.744552612305	8.76872025604162	312.136413574219	0
43263	1.54496479034424	0	9.01964721679701	136.078994750977	10.8850419518609	328.344970703125	1.76669810672239e-05
43264	2.58399033546448	0	11.300958251953	265.996459960938	9.37535253231043	306.781585693359	5.88747436975408e-07
43265	3.19195747375488	0	10.633935546875	320.764343261719	6.90091965331634	277.47802734375	0
43266	2.87721371650696	0	12.542443847656	278.079406738281	8.22802096425826	307.546875	0
43267	1.54597425460815	0	14.751184082031	256.174468994141	9.9086070941349	324.436889648438	0
43268	1.76057362556458	0	16.292199707031	267.667938232422	11.2533823008882	324.79638671875	0
43269	2.62078404426575	0	15.479821777344	318.258148193359	10.9978828072896	306.783843994141	0
43270	2.42265892028809	0	12.472833251953	60.0130081176758	13.2237778648012	343.178405761719	1.89790908835777e-05
43271	1.60277569293976	0	12.952416992188	231.937469482422	12.9798427227912	327.784454345703	1.11384967264409e-05
43272	2.45487880706787	0	12.577478027344	198.568420410156	12.0211559323392	338.971069335938	1.31325476912833e-05
43273	3.42996120452881	0	11.134271240234	184.589202880859	11.3245248304316	328.076965332031	3.62809037647417e-05
43274	3.51754093170166	0	7.75945434570303	177.405181884766	8.75227302136296	321.377502441406	9.79979934830528e-06
43275	3.40639615058899	0	8.35207519531201	203.420516967773	8.45673906267629	309.017578125	6.58958419484811e-06
43276	2.45696783065796	0	8.682458496094	184.219207763672	8.58144429688553	311.877624511719	4.30324184384922e-06
43277	2.76124691963196	0	7.49309692382803	220.783981323242	7.6284848222741	295.281372070312	7.55046383144669e-06
43278	2.55541133880615	0	7.21764526367201	264.651641845703	7.0793142761991	283.404663085938	5.03968698871581e-06
43279	2.74881291389465	0	8.55181274414105	297.90087890625	6.73140257138062	278.296936035156	2.63839158126049e-06
43280	2.49837517738342	0	8.99929199218803	304.112731933594	6.04698472741739	292.12548828125	0
43281	3.17301392555237	0	10.837518310547	319.591217041016	6.38419345912554	284.746673583984	0
43282	1.93611335754395	0	12.80556640625	310.419097900391	7.90739448715918	301.8271484375	0
43283	2.34625244140625	0	14.184686279297	271.207397460938	9.45407184986019	315.260467529297	5.29193218628481e-07
43284	1.44716429710388	0	14.195245361328	304.568542480469	8.51914965790586	304.225524902344	0
43285	1.49090909957886	0	14.192895507812	258.831420898438	9.63580982133566	323.199829101562	8.64708656283458e-06
43286	2.27105593681335	0	14.498406982422	226.180725097656	11.5968536277774	339.444122314453	2.96426277499347e-06
43287	1.14920008182526	0	13.29970703125	131.323486328125	13.0151173322652	346.538726806641	1.62621260339317e-05
43288	2.21041083335876	0	11.443780517578	105.665794372559	12.403336616803	334.917602539062	3.29277706138481e-05
43289	1.80898380279541	0	13.517602539062	225.729766845703	9.52629660922254	331.249267578125	4.8081631121022e-07
43290	0.979722738265991	0	15.850183105469	249.142700195312	9.44900456890487	331.891784667969	0
43291	1.08865773677826	0	16.795190429688	242.366073608398	11.3800208236797	329.377166748047	0
43292	1.78476405143738	0	15.155328369141	278.535003662109	11.6023846742392	318.592864990234	2.0337218605467e-06
43293	3.65066909790039	0	8.72722778320303	101.212966918945	9.34722718151568	321.755706787109	2.97450686856692e-05
43294	2.70559215545654	0	11.584252929688	193.083129882812	8.13925414980653	327.626556396484	0
43295	1.47535514831543	0	14.509118652344	248.497177124023	10.0918924854809	323.0888671875	6.96508158802722e-07
43296	1.75013267993927	0	10.939263916016	45.1436004638672	11.7017822120636	340.329223632812	3.93213081729806e-05
43297	1.08627927303314	0	10.92080078125	157.207260131836	11.2932942716381	334.901336669922	1.16472529043676e-05
43298	2.03946900367737	0	11.307244873047	159.15202331543	11.9744687904698	326.179168701172	2.97862566690633e-05
43299	2.32346773147583	0	10.686364746094	200.490463256836	10.696195453495	310.053955078125	2.56009439504447e-05
43300	2.44492816925049	0	12.429132080078	240.096893310547	10.0827866901657	317.175537109375	5.39733870634033e-06
43301	2.05349445343018	0	11.148034667969	201.718994140625	8.73465051743058	321.661590576172	1.80873965089429e-06
43302	1.47478950023651	0	10.880334472656	205.892654418945	9.58699567465112	317.511779785156	5.38789865661075e-06
43303	1.51194155216217	0	10.512109375	163.887847900391	9.58962474264714	317.67333984375	1.44627607470385e-06
43304	1.02476596832275	0	11.709069824219	195.467956542969	11.1299306568566	315.045379638672	1.90082230094251e-05
43305	0.771931052207947	0	13.371942138672	232.388137817383	10.9161820746855	310.656646728516	2.80423465584236e-06
43306	1.16597700119019	0	13.226220703125	234.624160766602	11.9871115085698	313.859130859375	1.40742829696844e-05
43307	2.02033472061157	0	10.656884765625	33.4226684570312	12.1002142892579	347.555755615234	5.14178989558583e-05
43308	0.802509784698486	0	12.225274658203	91.0628128051758	13.9221662666347	354.912017822266	3.09064974620317e-05
43309	1.41325831413269	0	12.139916992188	74.8937072753906	13.9270151685116	358.522827148438	1.94771160345731e-05
43310	2.24754929542542	0	11.242822265625	120.941108703613	12.1688836870987	332.555877685547	3.38847470023514e-05
43311	1.07975375652313	0	10.083154296875	162.78874206543	11.5003523537257	324.496063232422	1.71403998036921e-05
43312	1.35046243667603	0	10.699426269531	185.565826416016	11.4874288201177	314.891204833984	3.00121428153944e-05
43313	1.260258436203	0	9.711907958984	64.1174240112305	8.44851287153028	329.548828125	2.459276705243e-06
43314	0.83148181438446	0	9.70552978515605	104.43140411377	10.4746343296274	325.587280273438	1.76857732488619e-05
43315	1.39210748672485	0	10.548333740234	164.946685791016	10.0473382518416	319.631256103516	3.1538181449125e-06
43316	2.87697696685791	0	10.3978515625	56.1861839294434	10.6988456103029	343.752471923828	2.33016483737932e-05
43317	2.35290193557739	0	10.570916748047	13.01633644104	12.5636844523839	351.002075195312	6.71196014284053e-05
43318	2.70679712295532	0	11.247888183594	70.9627685546875	12.8887242941678	339.846893310547	5.38012035475631e-05
43319	1.27228009700775	0	10.472467041016	180.594345092773	9.3699722327807	316.309631347656	8.81149857276694e-07
43320	2.14115953445435	0	9.681146240234	127.091812133789	10.0029569820997	320.532165527344	8.07018699965233e-06
43321	1.57371509075165	0	10.800958251953	139.996704101562	11.1722102056664	327.267120361328	6.40312110691511e-06
43322	2.23090052604675	0	10.353753662109	97.5032043457031	10.6039218036157	331.909637451172	1.4145036604734e-05
43323	4.81906318664551	0	10.807458496094	8.12381935119629	12.6140181146212	352.962005615234	7.64386641094461e-05
43324	4.00717401504517	0	11.372399902344	83.57177734375	12.9048921613348	328.430297851562	2.28769689177473e-05
43325	1.90520703792572	0	8.03750000000002	98.7868728637695	9.68294799576376	320.813568115234	3.10622529771839e-06
43326	1.95074987411499	0	11.04873046875	23.6774616241455	12.307724590313	344.131072998047	6.66660626949225e-05
43327	2.20929503440857	0	15.886376953125	207.712539672852	13.1017241566493	326.847717285156	3.02964230690528e-06
43328	1.60140120983124	0	14.062615966797	155.226776123047	12.8491180226348	325.865509033203	8.24647587352147e-06
43329	0.846308946609497	0	12.039849853516	127.34196472168	13.4712931861043	341.818664550781	2.03167191001638e-05
43330	2.15324211120605	0	10.7826171875	35.1108856201172	12.6080719650101	336.293823242188	1.87671361749785e-05
43331	2.29781985282898	0	8.21071777343803	200.990173339844	8.28951412652607	290.206726074219	6.62889129267164e-07
43332	1.68538784980774	0	8.36599121093803	184.79248046875	8.37953796910819	296.129089355469	0
43333	1.24415802955627	0	8.844567871094	198.58430480957	8.360795762986	286.283508300781	0
43334	1.24764311313629	0	9.79131469726605	207.252304077148	8.49741877306989	285.197814941406	0
43335	2.82729434967041	0	10.203454589844	150.589462280273	7.70235111108534	305.503784179688	1.39022404255229e-06
43336	3.34882664680481	0	8.206628417969	42.6995086669922	7.32305379571405	304.9609375	2.59969197537026e-05
43337	2.52785229682922	0	9.27492675781201	217.472503662109	6.74071774061701	276.740966796875	0
43338	2.65739154815674	0	11.91640625	194.440063476562	9.76043471454868	300.509948730469	0
43339	3.0131516456604	0	11.716302490234	177.697418212891	9.25648427226142	299.00830078125	0
43340	1.52494728565216	0	9.41835937500002	214.63232421875	6.67039579989122	269.562866210938	0
43341	1.18812131881714	0	10.057458496094	138.633422851562	9.2450789834404	318.068572998047	3.64446729387661e-06
43342	2.39098310470581	0	11.478448486328	45.6209526062012	13.088385924839	351.821899414062	3.24700340570417e-05
43343	2.02214980125427	0	12.395837402344	115.924942016602	13.2562543748716	330.361663818359	1.07297051322853e-05
43344	2.48718881607056	0	9.87517700195303	160.85107421875	9.49616390131229	289.412506103516	3.78600885950517e-07
43345	1.67871117591858	0	10.114038085938	88.0817489624023	10.0673125758132	307.231506347656	3.53381311571058e-06
43346	1.53146970272064	0	13.260461425781	167.143417358398	12.7228740165519	314.262329101562	0
43347	2.72585701942444	0	12.378442382812	105.190246582031	13.0839346542215	333.65380859375	4.53934717370431e-06
43348	1.88377547264099	0	11.764581298828	45.5162467956543	13.5540944015898	332.037780761719	1.21523569557919e-05
43349	1.60158920288086	0	11.062219238281	170.864547729492	10.3573138098106	289.381958007812	8.51140258520092e-07
43350	2.90700197219849	0	9.654382324219	147.183792114258	8.69116994439064	290.458648681641	0
43351	3.79440212249756	0	8.23439941406201	84.3090744018555	7.91793527166355	290.238189697266	8.3913245261e-06
43352	3.23599672317505	0	7.19445190429701	149.765502929688	6.02777273449704	278.991851806641	1.25869923471732e-06
43353	5.21948766708374	0	8.692620849609	89.0044555664062	9.26013098026819	303.914459228516	1.04250284493901e-05
43354	2.99439716339111	0	5.41326293945303	158.74089050293	4.45459380321136	251.76106262207	0
43355	3.22982382774353	0	4.63454589843803	160.525238037109	4.6809722714053	246.420883178711	0
43356	2.01441788673401	0	4.185876464844	83.128044128418	6.52107582446723	289.062133789062	2.77916519230025e-06
43357	2.83863592147827	0	9.46840820312502	85.8681945800781	9.09717221211997	310.134429931641	2.61135735652513e-06
43358	3.65524959564209	0	10.253228759766	116.973136901855	9.53819851802678	303.772277832031	3.99008058593608e-06
43359	4.51547908782959	0	8.28093872070303	135.346435546875	7.2987505455788	271.040344238281	9.60856015000092e-07
43360	2.33682775497437	0	5.50921020507803	63.75732421875	7.86049214612797	289.785217285156	2.13332269696467e-05
43361	3.19998216629028	0	6.53927001953105	109.527374267578	7.88800689764481	284.787902832031	7.60772864951933e-06
43362	2.32832670211792	0	6.25832519531201	135.754669189453	6.40000283053297	257.441925048828	0
43363	1.70218074321747	0	3.55602416992201	50.8563194274902	6.60901286834186	288.623596191406	4.4697622393465e-06
43364	1.53054511547089	0	5.60744628906201	133.761215209961	6.76546125935196	260.281585693359	0
43365	2.87920904159546	0	5.317712402344	77.1184768676758	7.61236985934261	295.951202392578	1.02227265112257e-05
43366	3.24931716918945	0	9.67666015625002	119.82105255127	8.84226574541915	288.547760009766	3.27592665093511e-06
43367	3.42993783950806	0	5.604486083984	104.396537780762	6.50531512498098	272.845001220703	1.87397429524733e-06
43368	3.91218948364258	0	6.30474243164105	112.796890258789	6.16307755942713	269.035858154297	0
43369	2.88634634017944	0	5.02419433593803	126.383331298828	4.97741551865331	242.955856323242	0
43370	1.43050062656403	0	2.20876464843803	120.318939208984	4.61334317111908	239.291213989258	0
