wind_speed,mixing/coef_mix_hyp,light/Kw,par_id
0.89916,4.7801e-05,0.28241,p128
1.1728,7.7759e-05,0.72472,p129
1.0396,3.7981e-05,0.49058,p130
1.062,6.905e-05,0.60322,p131
0.98813,6.7732e-05,0.56061,p132
0.97334,1.1727e-05,0.3567,p133
0.93721,8.1662e-06,0.78296,p134
0.93496,9.3257e-07,0.61881,p135
0.85321,1.1423e-05,0.5736,p136
1.0241,4.403e-05,0.64995,p137
0.85163,9.1115e-05,0.74707,p138
1.135,9.8736e-05,0.66498,p139
1.0898,4.5071e-07,0.34797,p140
0.88578,9.7705e-05,0.53776,p141
0.94328,9.6694e-05,0.25802,p142
0.88827,8.368e-05,0.21303,p143
1.1623,5.8122e-05,0.48711,p144
0.81325,3.9107e-05,0.71575,p145
1.0538,7.9174e-05,0.20691,p146
0.84773,2.1555e-06,0.77938,p147
0.97643,7.4314e-05,0.48139,p148
1.1703,7.3001e-05,0.41509,p149
0.99858,1.8239e-05,0.40073,p150
0.90687,7.2243e-05,0.42081,p151
1.1743,2.683e-05,0.72947,p152
0.99568,7.0648e-05,0.49567,p153
1.1146,9.348e-05,0.76535,p154
1.1668,4.7074e-05,0.44874,p155
1.0766,3.5265e-06,0.54496,p156
0.82738,9.3728e-05,0.36049,p157
1.1929,8.0433e-05,0.4161,p158
1.1618,2.7881e-05,0.4343,p159
0.91651,4.4851e-05,0.24706,p160
1.0101,2.9054e-05,0.71896,p161
0.82128,2.1534e-05,0.42942,p162
0.86464,8.511e-05,0.40865,p163
1.049,2.9286e-05,0.47691,p164
1.169,5.724e-05,0.7201,p165
1.0578,2.9823e-05,0.59446,p166
1.0273,3.1432e-05,0.26972,p167
0.86674,3.3272e-05,0.23888,p168
0.96869,6.3724e-05,0.42573,p169
0.91415,9.521e-05,0.35383,p170
0.86349,2.7569e-05,0.70299,p171
1.1573,6.7048e-05,0.66803,p172
0.85574,9.4269e-05,0.63251,p173
0.96063,5.1057e-05,0.77374,p174
0.87189,6.8916e-05,0.35106,p175
1.0705,1.5551e-05,0.7634,p176
0.98742,9.2253e-05,0.46732,p177
0.83175,1.9092e-06,0.27372,p178
0.80369,7.3907e-05,0.32945,p179
0.82938,3.4575e-05,0.69515,p180
0.88109,7.5569e-05,0.72664,p181
0.86109,6.5275e-05,0.59838,p182
1.108,3.4031e-05,0.75108,p183
0.81803,2.4696e-05,0.76081,p184
1.023,7.4711e-05,0.37788,p185
0.90105,9.9484e-06,0.32397,p186
1.0312,6.4909e-05,0.74136,p187
0.97149,3.5952e-05,0.6947,p188
0.9479,3.5359e-05,0.58739,p189
1.0515,8.8465e-05,0.61421,p190
1.0091,6.4064e-05,0.51745,p191
0.8754,2.2041e-05,0.30981,p192
0.92549,1.7962e-05,0.69187,p193
0.88617,9.6417e-05,0.50608,p194
1.1415,8.6884e-05,0.769,p195
1.0039,6.6062e-05,0.5336,p196
1.1297,3.1753e-05,0.62938,p197
1.155,5.8124e-06,0.23494,p198
1.0626,3.6593e-05,0.55413,p199
0.90882,7.5316e-05,0.30433,p200
