wind_speed,turb_param/k_min,par_id
0.86331,3.7782e-08,p074
0.82685,6.9371e-05,p075
1.0122,9.4524e-06,p076
1.0078,1.049e-05,p077
1.1216,2.8059e-06,p078
0.84421,2.6323e-06,p079
1.1112,2.8049e-10,p080
0.90828,2.8668e-11,p081
0.90215,0.00034636,p082
0.86582,1.127e-09,p083
1.1473,1.4378e-09,p084
0.88617,1.6093e-06,p085
1.0991,2.5584e-10,p086
0.96383,8.8255e-09,p087
0.87026,4.566e-13,p088
1.0349,2.4954e-11,p089
0.92468,5.4687e-12,p090
1.171,6.968e-13,p091
0.81947,1.6061e-05,p092
0.94641,1.929e-14,p093
0.98707,6.1444e-11,p094
0.9067,4.2639e-06,p095
1.1083,4.8931e-09,p096
1.0596,8.1212e-05,p097
1.1752,5.2538e-08,p098
1.1225,1.1076e-14,p099
0.84145,2.6368e-08,p100
0.95439,3.3957e-10,p101
0.91696,1.0851e-07,p102
0.897,8.9635e-05,p103
1.1153,5.6597e-06,p104
1.0461,2.0995e-08,p105
1.1807,1.1641e-10,p106
1.0439,8.9757e-15,p107
1.0641,4.7e-05,p108
0.97549,0.00012146,p109
0.89259,2.5907e-12,p110
1.1767,0.00027435,p111
0.86746,7.0555e-07,p112
0.98051,1.1601e-13,p113
1.1245,9.6738e-05,p114
0.91555,8.7467e-13,p115
0.88517,2.3584e-09,p116
0.98916,6.8967e-09,p117
1.0855,4.5204e-14,p118
1.1369,6.1312e-08,p119
1.0199,5.2927e-07,p120
0.95761,3.7822e-06,p121
0.96008,2.2408e-06,p122
0.8536,1.3717e-12,p123
1.1698,1.3502e-11,p124
0.83156,2.067e-09,p125
0.87835,1.6107e-13,p126
1.0741,6.3682e-08,p127
0.88005,1.3137e-13,p128
0.8103,4.1071e-14,p129
0.82801,7.0694e-13,p130
1.1561,5.4147e-14,p131
0.93656,0.00014215,p132
1.1196,3.4704e-10,p133
1.0881,1.4649e-07,p134
1.0401,3.3234e-14,p135
0.93991,0.00025654,p136
1.0698,1.0328e-10,p137
0.80441,1.8536e-07,p138
0.91011,2.7039e-07,p139
1.1498,1.2609e-05,p140
1.1133,8.7554e-07,p141
0.96485,5.5642e-09,p142
1.1604,3.7966e-12,p143
1.0232,7.6063e-08,p144
0.9051,3.8197e-09,p145
0.98591,0.00045558,p146
1.0007,5.7888e-15,p147
1.0148,5.48e-07,p148
0.95059,8.3533e-12,p149
0.80682,1.2425e-12,p150
0.88385,7.813e-15,p151
1.0441,6.3326e-10,p152
0.921,3.0218e-08,p153
0.89822,8.9883e-07,p154
0.98309,8.0891e-09,p155
1.0626,2.4433e-07,p156
0.91868,1.5996e-08,p157
0.8559,6.9613e-10,p158
1.1651,2.1121e-13,p159
1.1928,2.3898e-12,p160
0.86018,6.5618e-06,p161
1.143,3.9442e-10,p162
0.94328,9.7363e-14,p163
0.96727,6.411e-05,p164
1.0719,1.7838e-13,p165
1.1862,2.7175e-09,p166
1.0271,1.2746e-11,p167
0.87472,1.8676e-11,p168
1.0787,6.3415e-09,p169
0.95926,7.739e-14,p170
0.89053,8.6062e-14,p171
0.93251,9.7776e-12,p172
1.0808,1.7026e-12,p173
1.0321,3.2374e-11,p174
1.1453,1.698e-07,p175
1.0294,9.8017e-13,p176
0.92236,4.2501e-07,p177
0.81693,1.2915e-09,p178
1.0664,2.3733e-14,p179
0.99695,0.00013208,p180
1.1506,2.1995e-11,p181
1.1384,8.0814e-08,p182
1.0307,8.2685e-10,p183
0.85959,3.9618e-13,p184
1.0518,9.8036e-10,p185
1.0929,1.7939e-06,p186
0.83886,4.043e-05,p187
0.82147,1.2374e-08,p188
0.99118,6.1273e-13,p189
0.81503,3.3131e-08,p190
0.81392,1.0098e-14,p191
0.97014,3.8027e-07,p192
0.93197,1.6507e-12,p193
0.8368,1.6879e-10,p194
0.9343,2.8829e-07,p195
1.0497,1.0135e-08,p196
1.1171,2.9404e-14,p197
1.1941,6.8828e-06,p198
0.97987,7.2175e-11,p199
1.0247,1.0976e-11,p200
