wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/cd,par_id
0.90686,0.0028021,0.68169,0.0019598,p0062
0.90579,0.0079741,0.27305,0.0013312,p0063
0.89409,0.008393,0.57751,0.0018419,p0064
1.0952,0.0094718,0.73176,0.0018003,p0065
1.0962,0.00014749,0.37419,0.0005306,p0066
1.135,7.313e-06,0.14473,0.00099512,p0067
1.1915,0.0011848,0.41856,0.00076143,p0068
1.0721,0.0012887,0.81033,0.00058469,p0069
0.86352,0.0030122,0.43908,0.00077524,p0070
1.1708,0.0090079,0.8142,0.00045474,p0071
0.86941,0.0014211,0.57762,0.0011156,p0072
1.156,0.004481,0.63171,0.0008765,p0073
0.89704,0.0072507,0.53695,0.00014528,p0074
0.98675,0.0099241,0.50614,0.00029397,p0075
0.9966,0.0053917,0.64486,0.0017472,p0076
0.95742,0.0019629,0.58983,0.001755,p0077
0.81789,0.0025213,0.87348,0.0015539,p0078
0.92974,0.0012314,0.54481,0.00089642,p0079
0.99295,0.0075031,0.72748,0.00069689,p0080
1.1998,0.0084054,0.20758,0.00055637,p0081
1.0659,0.00073304,0.8767,0.00022158,p0082
0.91615,0.00091078,0.54717,0.0010285,p0083
1.1623,0.006498,0.56263,0.00089525,p0084
1.0163,0.00021405,0.13656,0.00078011,p0085
1.0748,0.0043816,0.31724,0.0012723,p0086
1.1523,0.00075251,0.63862,0.0017286,p0087
1.0604,0.0040082,0.40971,0.0017042,p0088
1.0303,0.0015425,0.32484,0.0018045,p0089
0.82187,0.0069796,0.67819,0.0018991,p0090
0.90635,0.0050237,0.22541,0.00047125,p0091
0.96238,0.0034562,0.30422,0.0015353,p0092
1.1037,0.0012711,0.50706,0.0001105,p0093
1.1111,0.0052906,0.60303,0.001977,p0094
1.0296,0.0014159,0.86373,0.0018582,p0095
0.95942,0.0041564,0.42262,0.00020854,p0096
0.87508,0.0013284,0.31606,0.00068379,p0097
1.1029,0.0026717,0.4035,0.001967,p0098
1.0737,0.0092824,0.86216,0.001376,p0099
0.941,0.0028275,0.39754,0.0017986,p0100
1.0052,0.0036735,0.26401,0.0011608,p0101
0.87335,0.0060585,0.39069,0.00058777,p0102
1.1007,0.0020967,0.42469,0.00080922,p0103
1.118,0.008494,0.43827,0.0018839,p0104
1.0985,0.0051697,0.22932,0.00028095,p0105
1.164,0.008519,0.12444,0.00012854,p0106
1.1619,0.0022311,0.10561,0.00023433,p0107
1.1693,0.001644,0.89012,0.0014357,p0108
1.089,0.0056578,0.51507,0.0012777,p0109
1.0325,0.0037689,0.3417,0.00083056,p0110
1.0442,0.0022595,0.49518,0.0013073,p0111
1.0013,0.006865,0.25331,0.00010379,p0112
0.86615,0.0030586,0.75123,0.00024026,p0113
1.0042,0.0056404,0.59123,0.00014583,p0114
0.93771,0.0054738,0.51873,0.0019559,p0115
0.93271,0.0027417,0.4552,0.00027336,p0116
1.1869,0.0079427,0.46498,0.0016645,p0117
1.0654,0.0016389,0.54591,0.0016824,p0118
1.0141,0.00032441,0.74111,0.00019377,p0119
1.1993,0.0086379,0.85708,0.0011907,p0120
0.85142,0.0044624,0.25932,0.0011555,p0121
1.0093,0.0024644,0.32087,0.0010954,p0122
0.95078,0.0057029,0.25753,0.0010526,p0123
0.80595,0.0047453,0.69283,0.00028364,p0124
1.0918,0.0096374,0.75863,0.00056305,p0125
0.82124,0.006592,0.72074,0.00036526,p0126
0.82964,0.0019721,0.48988,0.0016522,p0127
1.0068,0.00392,0.59372,0.00064654,p0128
1.1341,0.0083379,0.35024,0.0013198,p0129
0.8575,0.00060957,0.76523,0.0011634,p0130
0.9572,0.0049077,0.44086,0.0014738,p0131
1.1346,0.0082575,0.58241,0.001322,p0132
0.83882,0.008956,0.63837,0.00025571,p0133
1.1828,0.0024791,0.31176,0.00041289,p0134
1.194,0.004055,0.89795,0.0016045,p0135
1.0453,0.0060652,0.88011,0.0014336,p0136
1.1744,0.003558,0.65523,0.00081396,p0137
1.0264,0.008525,0.87785,0.00087991,p0138
1.197,0.0012248,0.18975,0.0018706,p0139
0.85351,0.0081989,0.3361,0.001949,p0140
1.0004,0.0068856,0.32021,0.00084443,p0141
0.8127,0.0097952,0.77101,0.0019421,p0142
1.0342,0.0032459,0.79887,0.001674,p0143
0.99753,0.0074728,0.16268,0.0013626,p0144
1.1897,0.006391,0.34554,0.00051052,p0145
0.9952,0.0051108,0.65121,0.0018373,p0146
1.0252,0.0078471,0.54399,0.00052826,p0147
0.99049,0.0041929,0.2523,0.00052324,p0148
1.0136,0.0082691,0.83562,0.00086506,p0149
0.87876,0.0056312,0.63381,0.00024674,p0150
1.1551,0.0072285,0.73048,0.0011939,p0151
1.0993,0.0069258,0.60053,0.0010185,p0152
1.1155,0.0066002,0.23009,0.0018663,p0153
1.054,0.0056083,0.15579,0.00027642,p0154
0.83244,0.00096373,0.35565,0.00087762,p0155
0.8037,0.0067644,0.22445,0.001599,p0156
1.0996,0.0082284,0.33562,0.00017128,p0157
0.92132,0.0001978,0.55626,0.00095241,p0158
0.84996,0.0023385,0.334,0.0008532,p0159
0.88787,0.006826,0.52383,0.00098356,p0160
1.1635,0.0012483,0.62728,0.0017766,p0161
1.1411,0.0010651,0.56339,0.00024158,p0162
0.82727,0.0053578,0.65734,0.0013014,p0163
0.98711,0.0006153,0.49127,0.0002624,p0164
0.96001,0.0033426,0.38573,0.0014253,p0165
1.0306,0.00077518,0.36259,0.00072631,p0166
1.1018,0.0094013,0.5758,0.00072086,p0167
1.0074,0.0019283,0.63202,0.00080507,p0168
0.90492,0.0001642,0.34691,0.0010496,p0169
1.1606,0.009437,0.31917,0.0013367,p0170
1.0841,0.0096157,0.72631,0.00030384,p0171
1.0733,0.0069522,0.55316,0.00045217,p0172
1.1425,0.0091422,0.46425,0.0016786,p0173
0.83852,0.0081034,0.34794,0.0016491,p0174
0.83048,0.0032796,0.89717,0.0011134,p0175
1.0786,0.0070692,0.12589,0.001223,p0176
1.1231,0.0084509,0.78275,0.00045552,p0177
0.98245,0.00038468,0.28148,0.00086996,p0178
0.811,0.008112,0.58759,0.00075141,p0179
0.85629,0.0010472,0.18432,0.0013535,p0180
0.84454,0.0011396,0.16389,0.0013574,p0181
1.1837,0.0035261,0.2639,0.00090176,p0182
0.86731,0.00362,0.21722,0.0015147,p0183
0.89096,0.0063659,0.65243,0.00067031,p0184
0.90459,0.0076716,0.62632,0.00097869,p0185
1.1015,0.0061893,0.64263,0.0016173,p0186
1.1434,0.006711,0.74721,0.0012118,p0187
0.98472,0.0067392,0.89936,0.00023719,p0188
0.80061,0.0030094,0.36686,0.0019716,p0189
0.93549,0.0016509,0.8832,0.0013455,p0190
0.81424,0.0017374,0.22731,0.00058855,p0191
1.0848,0.0031027,0.13164,0.000269,p0192
0.83365,0.0050143,0.786,0.0019708,p0193
1.1934,0.0050087,0.16907,0.00049389,p0194
1.0943,0.0048255,0.56103,0.00032528,p0195
1.1823,0.0061638,0.86119,0.00085007,p0196
1.0211,0.0079939,0.87864,0.00034128,p0197
0.99165,0.0047394,0.24277,0.00023023,p0198
0.84542,0.0098271,0.66997,0.00062175,p0199
1.092,0.0094173,0.24692,0.00025073,p0200
0.86159,0.0018591,0.33476,0.00080716,p0201
1.1373,0.0099748,0.33773,0.00014231,p0202
0.955,0.0075839,0.41939,0.0003934,p0203
1.1885,0.0036287,0.70484,0.0013773,p0204
1.1955,0.006656,0.80352,0.0014823,p0205
0.98495,0.0051591,0.43343,0.0016124,p0206
0.92081,0.0087695,0.73781,0.00013939,p0207
1.1924,0.0044908,0.47222,0.0019804,p0208
0.80086,0.0045667,0.61303,0.00018725,p0209
1.1774,0.0096541,0.79343,0.0011274,p0210
1.0379,0.0025497,0.45676,0.0017391,p0211
0.9793,0.0057547,0.76474,0.00018105,p0212
1.1222,0.0082183,0.549,0.0019565,p0213
0.88623,0.0093391,0.89602,0.0018869,p0214
1.0027,0.0031951,0.85396,0.00052553,p0215
1.1362,0.0091182,0.58837,0.00019752,p0216
0.89917,0.005864,0.43687,0.0017958,p0217
1.1944,0.00087099,0.23626,0.00040368,p0218
0.84866,0.0081542,0.4046,0.001661,p0219
1.1835,0.0097233,0.18665,0.0014667,p0220
0.97356,0.00697,0.52271,0.0010811,p0221
1.1486,0.0039426,0.57961,0.0017364,p0222
0.95396,0.0086056,0.19061,0.0017835,p0223
0.88808,0.00076117,0.26974,0.00023603,p0224
1.0497,0.0075794,0.62717,0.0012284,p0225
0.84368,0.00039871,0.37842,0.00011691,p0226
0.91355,0.0048582,0.89146,0.0014069,p0227
1.0484,0.0067941,0.23761,0.0018137,p0228
1.1519,0.00086104,0.18223,0.00099215,p0229
1.1739,0.0095618,0.66368,0.0017921,p0230
1.0352,0.0081672,0.57422,0.0009166,p0231
1.1626,0.0050395,0.43446,0.0017521,p0232
1.1092,0.0045265,0.32619,0.0018246,p0233
1.0813,0.0040472,0.73912,0.00036677,p0234
0.87116,0.0012938,0.68405,0.0019063,p0235
1.0473,0.0061376,0.72476,0.001524,p0236
0.96917,0.0034611,0.24581,0.001398,p0237
1.1294,0.0050936,0.62429,0.00063151,p0238
1.0505,0.0079572,0.30276,0.00038044,p0239
1.1768,0.0018607,0.19988,0.0013803,p0240
0.86675,0.0012005,0.24726,0.0011102,p0241
0.93476,0.0078942,0.77771,0.001615,p0242
1.0177,0.0053862,0.38276,0.00098637,p0243
0.94571,0.0086629,0.48242,0.0010834,p0244
0.82346,0.0032963,0.13008,0.00020671,p0245
1.1186,0.0091523,0.33052,0.001849,p0246
0.87031,0.0072704,0.82697,0.00073279,p0247
0.92391,0.0072118,0.29032,0.00065113,p0248
0.81851,0.0084741,0.43198,0.0012943,p0249
1.0495,0.0013998,0.56859,0.00099305,p0250
0.84644,0.0020375,0.10253,0.0018723,p0251
0.95587,0.0040689,0.63926,0.00033754,p0252
0.93366,0.0059972,0.32684,0.00013679,p0253
0.98164,0.0065886,0.53881,0.0010066,p0254
1.1542,0.0063077,0.31511,0.00074091,p0255
1.0234,0.00051795,0.32761,0.00029815,p0256
0.86192,0.00082442,0.52004,0.00067906,p0257
1.079,0.0043085,0.33865,0.001158,p0258
0.8149,0.001161,0.28472,0.00046659,p0259
1.0934,0.0028821,0.49949,0.0017122,p0260
1.0541,0.0046016,0.45509,0.0012049,p0261
1.069,0.0031591,0.33149,0.0010118,p0262
0.96656,0.0086937,0.21162,0.0014297,p0263
0.8507,0.0092998,0.36329,0.0019621,p0264
1.0902,0.0094951,0.60701,0.00085624,p0265
1.0608,0.00024613,0.48514,0.0019099,p0266
1.1442,0.0051371,0.50387,0.0019345,p0267
0.8654,0.00796,0.77996,0.0014405,p0268
0.93003,0.0040872,0.50917,0.00057982,p0269
1.0011,0.003031,0.6687,0.001502,p0270
0.92054,0.0058884,0.79084,0.00010446,p0271
0.99809,0.0087569,0.38458,0.0012722,p0272
1.1035,0.0052271,0.1095,0.0015961,p0273
0.96051,0.0074642,0.44401,0.0017181,p0274
1.0149,0.0017895,0.25421,0.00033261,p0275
0.87068,0.0089793,0.35721,0.0018856,p0276
0.88447,0.008899,0.75075,0.0014518,p0277
1.1988,0.0054506,0.19897,0.0013698,p0278
0.80837,0.0047045,0.34262,0.0016595,p0279
1.0422,0.0090601,0.2705,0.0011111,p0280
1.0174,0.0056125,0.29787,0.0017067,p0281
1.0439,0.0084699,0.82256,0.0013733,p0282
1.1559,0.0076221,0.61051,0.00032642,p0283
1.1235,0.0091025,0.83168,0.0016692,p0284
1.1778,0.0065762,0.41395,0.0014716,p0285
0.89058,0.0099885,0.11683,0.00047622,p0286
0.93882,0.0091369,0.68684,0.0010198,p0287
1.0849,0.0092417,0.24173,0.0003588,p0288
0.92237,0.0096434,0.74387,0.00035096,p0289
1.084,0.0077514,0.58612,0.00086352,p0290
1.1385,0.0071863,0.68349,0.0010611,p0291
0.99843,0.0038732,0.84927,0.0002905,p0292
0.85878,0.0091932,0.19295,0.00093888,p0293
1.1721,0.0059019,0.11228,0.00062809,p0294
0.89577,0.0010978,0.26581,0.00059118,p0295
1.009,0.0011514,0.80715,0.0019005,p0296
0.81136,0.0039837,0.80258,0.0018566,p0297
1.0362,0.0020219,0.77913,0.0016372,p0298
0.97661,0.0087872,0.3822,0.00046359,p0299
0.98536,0.0073894,0.74186,0.00043256,p0300
1.0945,0.0060457,0.27949,0.0009287,p0301
0.83927,0.0015011,0.4839,0.00039834,p0302
0.98024,0.007359,0.3433,0.0010352,p0303
0.86997,0.00070485,0.84159,0.0010087,p0304
0.80142,0.0034954,0.3814,0.00024966,p0305
1.1197,0.0051859,0.81227,0.00036925,p0306
1.0322,0.0048496,0.33742,0.00099726,p0307
0.88182,0.0010114,0.29312,0.001947,p0308
1.0283,0.0010577,0.66479,0.00081726,p0309
1.186,0.00029324,0.44203,0.00074743,p0310
1.1641,0.0077134,0.14809,0.00093489,p0311
0.89283,0.0031641,0.62551,0.0016056,p0312
0.87914,0.0063179,0.5243,0.0012455,p0313
0.90432,0.0046687,0.59587,0.00074304,p0314
0.89632,0.0081884,0.44757,0.0010972,p0315
1.0895,0.0037966,0.73316,0.0017732,p0316
0.82,0.0049152,0.82018,0.0016089,p0317
0.80456,0.0033657,0.25441,0.00081182,p0318
0.94427,0.0073677,0.55366,0.0012982,p0319
0.95677,0.004428,0.26102,0.00065672,p0320
1.0599,0.0088751,0.69237,0.0017435,p0321
1.1052,0.0032551,0.37975,0.0013394,p0322
0.92438,0.00034963,0.73034,0.00041645,p0323
0.90976,0.00055853,0.32311,0.0012783,p0324
1.0509,0.0015763,0.28642,0.00049906,p0325
1.1475,0.000854,0.28848,0.0019602,p0326
1.148,0.0051285,0.5166,0.0015479,p0327
1.1042,0.0027918,0.29137,0.0016935,p0328
0.98133,0.0041376,0.53985,0.0013728,p0329
0.94008,0.00064939,0.7673,0.00076834,p0330
1.1477,0.0074885,0.51836,0.0014306,p0331
0.90553,0.0056969,0.12739,0.0013186,p0332
1.0637,0.0093091,0.6421,0.0014648,p0333
0.93803,0.0063352,0.48194,0.0018748,p0334
1.08,0.0087133,0.8131,0.00016297,p0335
1.1917,0.0044352,0.46791,0.0001928,p0336
0.89936,0.0097675,0.76125,0.0019033,p0337
1.0877,0.0078611,0.31049,0.0019543,p0338
1.1401,0.0097717,0.84416,0.0012296,p0339
1.1682,0.009176,0.40696,0.0010576,p0340
1.1662,0.0047286,0.62054,0.0016321,p0341
0.95623,0.0069492,0.38021,0.00059277,p0342
0.9271,0.0055086,0.61213,0.0010582,p0343
1.159,0.0057882,0.57466,0.00068138,p0344
0.87996,0.0019909,0.35124,0.0017106,p0345
0.94705,0.0043479,0.72509,0.0010132,p0346
0.97204,0.00062788,0.2444,0.00087193,p0347
0.98886,0.0015986,0.26825,0.0007174,p0348
1.0906,0.00047965,0.18564,0.0017399,p0349
1.0716,0.0044083,0.6407,0.0011057,p0350
0.83801,0.0029898,0.64736,0.0017319,p0351
0.81079,0.00027988,0.51228,0.00079259,p0352
1.1782,0.0011969,0.57646,0.0012344,p0353
1.1104,0.0010003,0.66687,0.00098886,p0354
1.1328,0.00023662,0.86707,0.00071519,p0355
1.017,0.0077878,0.15342,0.00092354,p0356
0.84228,0.0086828,0.47044,0.00094814,p0357
0.96685,0.0045396,0.12093,0.00055515,p0358
1.1378,0.0028575,0.436,0.00024486,p0359
0.91937,0.006815,0.6825,0.0012261,p0360
1.0651,0.001727,0.262,0.00028502,p0361
0.99229,0.0018296,0.89105,0.00034199,p0362
0.83111,0.0071255,0.11347,0.0006648,p0363
0.85996,0.0028923,0.6662,0.00098071,p0364
0.97034,0.0003505,0.66727,0.0019639,p0365
0.91584,0.003327,0.29465,0.00032907,p0366
0.88711,0.0027289,0.83896,0.0012805,p0367
0.80418,0.004927,0.16042,0.0015939,p0368
1.1024,0.0072451,0.53114,0.0011974,p0369
1.0593,0.0060016,0.41818,0.00025868,p0370
0.92642,5.983e-05,0.37335,0.00030856,p0371
1.1598,0.0035307,0.10814,0.00012188,p0372
0.92032,0.0096994,0.22588,0.0016205,p0373
1.0793,0.0062992,0.23073,0.0016405,p0374
0.84822,0.0019305,0.79552,0.0013849,p0375
1.1127,0.0044408,0.61644,0.00048373,p0376
0.9273,0.0048698,0.29646,0.00071164,p0377
1.17,0.0038413,0.80095,0.00034462,p0378
0.83435,0.007495,0.20964,0.0012672,p0379
1.1066,0.0092772,0.36929,0.00068797,p0380
1.0157,0.00017945,0.47406,0.00043235,p0381
1.1646,0.0071465,0.36481,0.0018024,p0382
0.96118,0.0029735,0.1544,0.0003174,p0383
1.0824,0.0066758,0.8085,0.0017204,p0384
0.81224,0.0077785,0.82321,0.0016431,p0385
1.0193,0.0021916,0.30712,0.0013292,p0386
1.0311,0.0041622,0.60786,0.00021699,p0387
0.90925,0.0068508,0.71574,0.0016884,p0388
1.0258,0.0050883,0.17313,0.0015775,p0389
0.81957,0.0037474,0.68141,0.0010328,p0390
1.0394,0.0086562,0.3607,0.0015301,p0391
1.0747,0.0037125,0.74864,0.00073212,p0392
0.81444,0.0093233,0.1926,0.0013384,p0393
0.88427,0.0025012,0.74648,0.0013885,p0394
0.95783,0.0038075,0.21201,0.0010054,p0395
0.99403,0.0062607,0.35616,0.0016944,p0396
0.81183,0.0033097,0.47699,0.001122,p0397
1.0565,0.0059191,0.63462,0.00051625,p0398
1.1447,0.0039626,0.8892,0.00068555,p0399
1.0865,0.0083626,0.85086,0.00044146,p0400
0.88943,0.0007184,0.71296,0.00022252,p0401
1.1924,0.00022662,0.53827,0.00080474,p0402
1.1407,0.00041488,0.50081,0.00096187,p0403
0.8532,0.0069093,0.83248,0.0014131,p0404
0.84308,0.0090496,0.25552,0.00020197,p0405
1.0425,0.00011809,0.55031,0.00016082,p0406
1.1138,0.0017567,0.57867,0.00013299,p0407
0.86425,0.0040936,0.54746,0.0018448,p0408
1.1226,0.0065664,0.48456,0.0010474,p0409
0.94903,0.0058986,0.68874,0.00066081,p0410
1.0642,0.0021744,0.40871,0.00040135,p0411
1.1531,0.0017795,0.81645,0.00053381,p0412
1.0332,9.3365e-05,0.34462,0.0015411,p0413
1.163,0.0076941,0.88451,0.00044637,p0414
1.093,0.0035127,0.40907,0.00012394,p0415
0.88895,0.0057763,0.67628,0.00028843,p0416
0.90266,0.0099137,0.1098,0.0012918,p0417
0.80866,0.004972,0.85228,0.00051879,p0418
1.1867,0.0083484,0.11629,0.00078372,p0419
1.1327,0.0024127,0.61895,0.0019139,p0420
1.1863,0.0089975,0.30616,0.001696,p0421
1.0635,0.006372,0.72098,0.0013122,p0422
0.89798,0.0047728,0.76053,0.00042594,p0423
1.0574,0.0052181,0.83016,0.00077279,p0424
0.85588,0.003081,0.45119,0.00038503,p0425
0.83225,0.0025175,0.55743,0.00047454,p0426
1.1568,0.0098044,0.70406,0.0003737,p0427
0.8092,0.0016051,0.24882,0.00035418,p0428
1.0273,0.0098748,0.11927,0.0014429,p0429
1.1051,0.0070292,0.16621,0.00067577,p0430
1.1553,0.0058796,0.47945,0.0017755,p0431
1.1132,0.0089142,0.78847,0.00039691,p0432
0.99364,0.0097818,0.70123,0.0017029,p0433
1.1757,0.0002859,0.12836,0.00054858,p0434
1.0807,0.0092536,0.44375,0.00018462,p0435
1.0446,0.0027559,0.82518,0.00096988,p0436
1.0411,0.0032185,0.44557,0.00015519,p0437
1.1508,0.0083708,0.20438,0.0011026,p0438
1.0205,0.0043713,0.69442,0.0015073,p0439
1.1796,0.0074304,0.85507,0.0018688,p0440
0.80717,0.0026316,0.31292,0.0017016,p0441
0.93485,0.0035857,0.81084,0.0011699,p0442
0.8793,0.0024599,0.47906,0.00050963,p0443
0.82627,0.0032609,0.4761,0.00030282,p0444
1.134,0.0031791,0.73515,0.00056588,p0445
1.0695,0.0039259,0.78373,0.0014536,p0446
1.037,0.0077412,0.60822,0.00064517,p0447
0.80331,0.0043907,0.19799,0.00097712,p0448
0.8758,0.0030929,0.26282,0.0014035,p0449
0.9726,0.0002508,0.17406,0.0018092,p0450
0.99779,0.004077,0.20947,0.0017244,p0451
0.83976,0.0031313,0.45125,0.00080262,p0452
0.85786,0.0038271,0.8947,0.0016546,p0453
1.1853,0.001559,0.47357,0.0016459,p0454
0.93673,0.0022262,0.73391,0.00069581,p0455
1.0625,0.0016643,0.50462,0.0011984,p0456
1.0869,0.0048783,0.71259,0.00075609,p0457
0.98323,0.0055788,0.25844,0.0011233,p0458
0.95094,0.0034138,0.22665,0.0011323,p0459
0.95453,0.0072961,0.25005,0.0010158,p0460
0.99719,0.0075687,0.64424,0.00089892,p0461
0.86031,0.0019039,0.71472,0.0015676,p0462
0.80919,0.0019419,0.13104,0.00086658,p0463
0.97687,0.0085455,0.6154,0.00056365,p0464
1.1266,0.0081268,0.21499,0.0015439,p0465
0.88057,0.003861,0.6973,0.001847,p0466
1.1145,0.0036497,0.75005,0.0015193,p0467
0.92176,0.0023139,0.35504,0.00095019,p0468
0.85204,0.0011417,0.60389,0.0010852,p0469
1.131,0.0026108,0.45956,0.00011406,p0470
1.0957,0.0080433,0.48753,0.001165,p0471
0.91127,0.0050784,0.64993,0.00050233,p0472
0.88345,0.00036395,0.36407,0.0016562,p0473
1.086,0.0078516,0.37736,0.00016743,p0474
0.98591,0.0021265,0.5353,0.0010246,p0475
0.99556,0.0089414,0.27684,0.0017537,p0476
1.1176,0.0058383,0.147,0.00049259,p0477
1.1114,0.0063206,0.17456,0.0015852,p0478
0.92866,0.0095005,0.76231,0.00046219,p0479
1.0774,0.0095114,0.7871,0.00053175,p0480
1.1829,0.0058594,0.57128,0.0018279,p0481
0.92816,0.0035006,0.48044,0.00047334,p0482
1.1574,0.0079308,0.10175,0.0012415,p0483
1.1301,0.0096613,0.27778,0.001574,p0484
0.99272,0.0023836,0.20176,0.0019211,p0485
0.95016,0.0047622,0.2157,0.00065347,p0486
1.097,0.0017096,0.86962,0.00083519,p0487
1.1788,0.00083237,0.34581,0.001634,p0488
1.1366,0.0068057,0.15849,0.0014612,p0489
1.0204,0.0080103,0.26713,0.0015167,p0490
0.8608,0.00068892,0.76251,0.0018781,p0491
1.1665,0.0054612,0.50048,0.00042933,p0492
1.0288,0.0076365,0.86459,0.00010163,p0493
0.84142,0.0057436,0.40485,0.000735,p0494
1.1003,0.005236,0.59981,0.00066279,p0495
1.0766,0.0011083,0.39283,0.0013508,p0496
0.88722,0.0030218,0.41258,0.0019324,p0497
1.062,0.0076038,0.67119,0.0013172,p0498
0.94535,0.004267,0.49326,0.00038176,p0499
0.83532,0.0065283,0.23389,0.00074963,p0500
0.91044,0.0049842,0.42179,0.0018393,p0501
1.0973,0.0057187,0.74507,0.0013107,p0502
0.92552,0.0058242,0.58145,0.00090881,p0503
0.89845,0.0043653,0.15934,0.00051303,p0504
1.003,0.002325,0.78058,0.00044346,p0505
0.96304,0.0078108,0.27449,0.00057484,p0506
0.8282,0.0057641,0.4271,0.00056788,p0507
1.0883,0.0010814,0.40302,0.0010401,p0508
0.93995,0.0062187,0.46336,0.00078148,p0509
0.96822,0.0029248,0.1115,0.00072251,p0510
1.1192,0.0041301,0.85929,0.001478,p0511
0.91687,0.0010718,0.48862,0.00034567,p0512
0.96455,0.0040371,0.56611,0.001093,p0513
1.1612,0.0034844,0.60152,0.0016106,p0514
0.90784,0.0059791,0.20867,0.00085895,p0515
0.86889,0.0097147,0.64932,0.00082656,p0516
0.95854,0.0041411,0.70829,0.0019109,p0517
0.85959,0.0034753,0.61991,0.0010227,p0518
0.876,0.0073082,0.49684,0.00060106,p0519
0.84759,0.0060843,0.39852,0.00062005,p0520
1.1398,0.0018176,0.44255,0.00054634,p0521
1.0316,0.00063802,0.14358,0.0018322,p0522
1.1261,0.0088242,0.65937,0.0012469,p0523
1.1212,0.0022826,0.13343,0.00018358,p0524
0.83462,0.0073453,0.86041,0.0017786,p0525
0.81997,0.0046796,0.65347,0.0012422,p0526
1.0491,0.0099673,0.50204,0.0013606,p0527
1.1583,0.0032852,0.1179,0.0012097,p0528
0.88505,0.0057227,0.87384,0.00050717,p0529
1.1771,0.0096217,0.58544,0.0017257,p0530
0.9464,0.0015339,0.52098,0.00025306,p0531
1.1144,0.00043904,0.17541,0.00028674,p0532
1.1983,0.00044622,0.44941,0.0010645,p0533
1.1179,0.0085536,0.5645,0.00096655,p0534
0.91416,0.0056703,0.68504,0.0014358,p0535
0.92331,0.00037457,0.51922,0.0010621,p0536
0.89195,0.0043163,0.20515,0.00097031,p0537
0.98374,0.0014892,0.84878,0.00031254,p0538
1.0715,0.007541,0.31272,0.0019931,p0539
