wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,mixing/coef_wind_stir,mixing/coef_mix_shear,mixing/coef_mix_conv,mixing/coef_mix_turb,meteorology/cd,par_id
0.97652,0.33989,0.16676,0.89315,0.40233,0.42241,0.23792,0.0029347,p0056
0.81658,0.59949,0.64889,0.41828,0.81662,0.86527,0.4473,0.00075183,p0057
0.84537,0.11253,0.42534,0.29926,0.7005,0.35218,0.14759,0.0013653,p0058
0.87782,0.81459,0.89325,0.39495,0.79471,0.80778,0.3106,0.0025894,p0059
1.0003,0.98454,0.17173,0.63633,0.82794,0.80908,0.28038,0.00041159,p0060
0.86825,0.83014,0.3938,0.10393,0.73497,0.8193,0.52369,0.0017135,p0061
1.1955,0.84649,0.84506,0.43792,0.59879,0.28927,0.14474,0.0011378,p0062
1.1139,0.50389,0.11555,0.76686,0.82218,0.7973,0.45343,0.00026509,p0063
0.99469,0.36122,0.69348,0.2805,0.75853,0.48354,0.29677,0.0017274,p0064
1.1221,0.71215,0.762,0.81134,0.15406,0.80151,0.19992,0.0011322,p0065
1.1278,0.76314,0.3386,0.13437,0.16384,0.42785,0.10437,0.0019066,p0066
1.0631,0.093845,0.83547,0.38548,0.51487,0.8243,0.17365,0.00066509,p0067
1.0041,0.87823,0.33209,0.56649,0.54558,0.47577,0.13197,0.00086901,p0068
1.1136,0.26333,0.36941,0.3015,0.74214,0.46678,0.84775,0.0017382,p0069
0.94252,0.34844,0.85898,0.5453,0.45012,0.23375,0.36621,0.0027151,p0070
1.191,0.41454,0.21023,0.88346,0.13347,0.4823,0.73613,0.0025318,p0071
0.81574,0.066504,0.50628,0.1327,0.11837,0.41254,0.75588,0.0007971,p0072
0.86468,0.81266,0.55645,0.5984,0.57292,0.61051,0.64331,0.00036869,p0073
1.0436,0.7276,0.68657,0.60668,0.44745,0.37139,0.67768,0.0015515,p0074
0.86194,0.11407,0.43372,0.33873,0.35437,0.29251,0.2831,0.00076247,p0075
1.0722,0.023971,0.87646,0.53457,0.72801,0.24099,0.22019,0.0011083,p0076
1.0764,0.20618,0.84005,0.66497,0.36329,0.25184,0.37717,0.00028916,p0077
0.82575,0.38167,0.62493,0.24993,0.20616,0.44179,0.68441,0.0019448,p0078
0.93958,0.036715,0.10463,0.21764,0.78467,0.67442,0.23249,0.00012578,p0079
1.1736,0.78764,0.73379,0.47057,0.387,0.5425,0.83594,0.00064936,p0080
1.0991,0.82805,0.32252,0.26347,0.89378,0.19353,0.81369,0.0026281,p0081
0.90399,0.75407,0.81796,0.52714,0.2953,0.40538,0.77761,0.0013581,p0082
0.99318,0.93606,0.65852,0.41482,0.64401,0.29117,0.59005,0.0018934,p0083
1.0673,0.63601,0.41406,0.22966,0.61564,0.60055,0.7492,0.0017713,p0084
1.1472,0.72953,0.1799,0.67601,0.84831,0.58188,0.68224,0.00057647,p0085
0.88879,0.27527,0.55993,0.74693,0.55287,0.10702,0.7882,0.00084363,p0086
0.86053,0.48471,0.78377,0.74067,0.15248,0.29877,0.81773,0.0013132,p0087
1.0547,0.33547,0.4722,0.39735,0.74067,0.12697,0.75052,0.00019435,p0088
1.1316,0.6835,0.52729,0.4366,0.36009,0.32481,0.25371,0.0002963,p0089
0.82353,0.89188,0.83297,0.20792,0.81053,0.454,0.11011,0.0028462,p0090
1.0597,0.46052,0.75568,0.40012,0.53834,0.78978,0.75148,0.0019939,p0091
0.93406,0.81875,0.23045,0.21533,0.40752,0.56097,0.71085,0.0024487,p0092
1.0933,0.64145,0.31408,0.69868,0.10491,0.6565,0.79349,0.0024573,p0093
0.90524,0.028201,0.80032,0.79189,0.59931,0.74826,0.15874,0.0018694,p0094
0.84907,0.65818,0.25104,0.62974,0.24404,0.35725,0.33437,0.000915,p0095
0.94859,0.35328,0.57899,0.39773,0.68887,0.24653,0.43311,0.0025783,p0096
1.0311,0.53866,0.8106,0.78613,0.13674,0.69827,0.23522,0.0016615,p0097
1.0645,0.43311,0.81587,0.48763,0.25756,0.19491,0.85793,0.0011439,p0098
0.94643,0.73405,0.68282,0.24161,0.2347,0.25576,0.1534,0.0009659,p0099
1.0758,0.16777,0.34263,0.76371,0.46626,0.43006,0.45691,0.00022468,p0100
0.94492,0.68073,0.50753,0.29352,0.66384,0.80408,0.5484,0.0019582,p0101
0.98876,0.89825,0.26827,0.25826,0.26161,0.89788,0.50638,0.00016163,p0102
1.0747,0.50001,0.7862,0.59427,0.15041,0.60963,0.58563,0.0013862,p0103
1.0107,0.10765,0.31912,0.28761,0.641,0.66352,0.65668,0.0012771,p0104
1.1874,0.88698,0.52044,0.47598,0.34493,0.88199,0.43015,0.00016865,p0105
0.85505,0.12384,0.6042,0.63349,0.68669,0.42151,0.26658,0.0014688,p0106
1.0911,0.74553,0.36095,0.45257,0.67656,0.75383,0.76437,0.0019625,p0107
0.95748,0.74907,0.72768,0.4848,0.44153,0.86152,0.86866,0.0017926,p0108
1.1342,0.93021,0.27848,0.29777,0.39446,0.67016,0.12768,0.0015946,p0109
1.0887,0.0010752,0.80241,0.64837,0.51292,0.65413,0.11467,0.0011811,p0110
1.1904,0.15045,0.7917,0.33834,0.8703,0.78032,0.56971,0.0028959,p0111
0.80807,0.54046,0.4524,0.78813,0.26637,0.11304,0.27437,0.00084958,p0112
0.83594,0.94855,0.81363,0.5566,0.24563,0.39014,0.6908,0.00071889,p0113
0.895,0.63031,0.43532,0.5837,0.35085,0.84682,0.89947,0.0028327,p0114
0.96358,0.85576,0.88101,0.38718,0.87973,0.50089,0.20824,0.0028654,p0115
1.1682,0.95773,0.70624,0.26213,0.84907,0.2232,0.33033,0.0025148,p0116
1.1439,0.54226,0.3059,0.58626,0.87268,0.24757,0.19523,0.0029573,p0117
0.96473,0.10554,0.4681,0.2357,0.17856,0.56546,0.89419,0.00092732,p0118
0.85245,0.73768,0.84737,0.62293,0.77059,0.3256,0.80502,0.0021767,p0119
1.1409,0.48261,0.63847,0.7423,0.2553,0.85209,0.3278,0.00095619,p0120
1.1621,0.66931,0.57688,0.67994,0.15467,0.8598,0.32214,0.0018383,p0121
1.0536,0.045208,0.63598,0.64328,0.23047,0.59676,0.46975,0.001399,p0122
1.1402,0.96439,0.2604,0.36107,0.65823,0.3852,0.13892,0.0020689,p0123
1.1729,0.27821,0.27134,0.11732,0.12253,0.63529,0.30064,0.0014114,p0124
1.1605,0.68905,0.21778,0.42287,0.37426,0.76785,0.85847,0.0023698,p0125
0.9513,0.47491,0.5379,0.16756,0.52683,0.10145,0.50676,0.00057008,p0126
1.0557,0.32974,0.45109,0.68769,0.33143,0.56701,0.32711,0.0019496,p0127
0.87616,0.28904,0.73917,0.16442,0.32268,0.46483,0.22441,0.00027609,p0128
0.88119,0.58596,0.57591,0.19941,0.58415,0.83798,0.13348,6.7683e-05,p0129
1.1236,0.37082,0.25999,0.35847,0.44474,0.7748,0.16486,8.0681e-05,p0130
1.1916,0.8423,0.1774,0.82025,0.33798,0.40212,0.12668,0.0029062,p0131
1.1304,0.24261,0.75129,0.5868,0.89861,0.86348,0.84083,0.0016384,p0132
1.156,0.20218,0.16779,0.51687,0.38356,0.86689,0.3384,0.002884,p0133
1.0035,0.58313,0.71953,0.62536,0.42451,0.7071,0.72154,0.0020278,p0134
0.93518,0.67901,0.83716,0.20621,0.33472,0.77098,0.71537,3.4448e-05,p0135
0.86662,0.38269,0.58168,0.15427,0.1295,0.12334,0.20606,0.0013841,p0136
0.82706,0.56327,0.21069,0.15004,0.43671,0.35066,0.70732,0.0012496,p0137
0.85767,0.063924,0.18736,0.80355,0.37239,0.33015,0.60143,0.0014309,p0138
1.1004,0.15464,0.38291,0.31463,0.40453,0.34319,0.6203,0.001654,p0139
0.81024,0.11625,0.44706,0.18318,0.16411,0.60567,0.15017,0.0016238,p0140
1.1808,0.45294,0.62239,0.89106,0.34113,0.89453,0.78167,0.0024512,p0141
0.85526,0.61188,0.88306,0.83954,0.15805,0.72452,0.59405,0.0021889,p0142
0.84845,0.59168,0.5436,0.72833,0.6361,0.71475,0.43123,0.0027503,p0143
1.1417,0.30267,0.49853,0.1012,0.60402,0.55394,0.67265,0.00074394,p0144
1.1693,0.71743,0.78089,0.12825,0.59134,0.36568,0.78706,0.0024638,p0145
1.1673,0.76581,0.80755,0.79517,0.3434,0.65889,0.4063,0.0012785,p0146
1.1535,0.25736,0.59581,0.1803,0.86736,0.13574,0.76947,0.0017438,p0147
1.0949,0.62863,0.53143,0.87049,0.86042,0.71859,0.33522,0.001871,p0148
0.83882,0.28458,0.66624,0.6892,0.63798,0.77668,0.4831,0.0027058,p0149
0.93765,0.79113,0.32406,0.46488,0.42673,0.45339,0.31542,0.0022394,p0150
1.128,0.30532,0.30273,0.17163,0.78095,0.30708,0.42409,0.00013662,p0151
1.1268,0.14386,0.2071,0.8222,0.50967,0.61921,0.84372,0.0020499,p0152
1.0702,0.58905,0.50237,0.32079,0.78871,0.16299,0.38955,0.00014466,p0153
0.92751,0.53467,0.80541,0.33142,0.83653,0.82241,0.31146,0.001518,p0154
0.89006,0.25802,0.72579,0.71128,0.52507,0.536,0.17269,0.002799,p0155
0.91729,0.96347,0.37594,0.66103,0.76545,0.81562,0.46646,0.002428,p0156
1.0468,0.6356,0.43037,0.89849,0.65354,0.55204,0.17093,0.0021073,p0157
0.99387,0.58704,0.72441,0.78752,0.84273,0.86282,0.54393,0.00059924,p0158
1.0321,0.52887,0.22356,0.67767,0.6608,0.57628,0.29732,0.00072332,p0159
0.9681,0.90174,0.79838,0.55072,0.17615,0.18069,0.51575,0.0018063,p0160
0.88658,0.8066,0.67361,0.36332,0.10064,0.85162,0.8262,0.0025073,p0161
1.149,0.71943,0.49182,0.29061,0.47242,0.53363,0.40015,0.00070436,p0162
0.98228,0.13827,0.27575,0.8872,0.89811,0.53068,0.55588,0.0019872,p0163
1.0717,0.69141,0.18149,0.8658,0.18711,0.60388,0.41714,0.0027554,p0164
1.0394,0.44839,0.48063,0.43384,0.57078,0.76673,0.89592,0.00037965,p0165
0.96715,0.18218,0.37743,0.13728,0.47685,0.14479,0.2365,0.00099969,p0166
0.98265,0.95477,0.58631,0.34396,0.72271,0.44386,0.56757,0.00042362,p0167
1.1168,0.59373,0.81309,0.22448,0.49294,0.52947,0.44982,0.0014488,p0168
1.1841,0.48973,0.141,0.73464,0.69113,0.35977,0.43976,0.00094438,p0169
0.82072,0.057792,0.22233,0.82888,0.73125,0.27116,0.63737,0.0016812,p0170
1.0588,0.17507,0.31594,0.56496,0.22218,0.79847,0.69571,0.0028712,p0171
0.84174,0.77217,0.87467,0.38474,0.6103,0.20808,0.54592,0.0020102,p0172
1.1797,0.017761,0.51066,0.42887,0.71075,0.3031,0.42591,0.00091109,p0173
1.0684,0.69349,0.13328,0.14225,0.87656,0.88698,0.26904,0.0025021,p0174
1.1552,0.32565,0.21983,0.58063,0.46172,0.83037,0.50077,0.00018181,p0175
0.80619,0.19431,0.82649,0.40914,0.86522,0.21421,0.36025,0.0026456,p0176
1.1392,0.31385,0.32565,0.50505,0.45788,0.63843,0.41678,0.0015297,p0177
1.0975,0.99291,0.12466,0.11097,0.42841,0.39362,0.24623,0.0029911,p0178
0.80558,0.68778,0.68014,0.24388,0.80626,0.22375,0.32471,0.0018434,p0179
1.0122,0.17846,0.19698,0.27027,0.58008,0.60402,0.56675,0.002488,p0180
0.88251,0.71055,0.58872,0.41267,0.71322,0.41413,0.67433,0.00039765,p0181
0.81506,0.16089,0.86117,0.47214,0.33334,0.83196,0.59781,0.0012549,p0182
0.97758,0.3776,0.48849,0.52846,0.88396,0.47375,0.68399,0.0019182,p0183
0.90008,0.011831,0.82861,0.80679,0.56367,0.75952,0.63403,2.068e-05,p0184
1.1114,0.28256,0.86355,0.24441,0.48062,0.69362,0.6314,0.00080219,p0185
0.84587,0.81621,0.47369,0.51467,0.59015,0.78672,0.55769,0.0028922,p0186
1.0527,0.86782,0.42474,0.35402,0.31308,0.51916,0.68617,0.0025385,p0187
0.9891,0.78505,0.56252,0.64228,0.74965,0.6766,0.21227,0.0004653,p0188
0.80168,0.18119,0.15536,0.37448,0.39963,0.15891,0.8798,0.0023403,p0189
0.93298,0.53042,0.39872,0.71492,0.14259,0.17404,0.80239,0.00069575,p0190
1.1358,0.15285,0.15659,0.78218,0.83005,0.1374,0.50354,0.0016356,p0191
0.85175,0.13643,0.10768,0.53333,0.80447,0.15613,0.40986,0.00052824,p0192
0.91557,0.60437,0.33115,0.63136,0.67106,0.45771,0.46496,0.0012282,p0193
1.1703,0.28782,0.38596,0.5701,0.67808,0.31475,0.57067,0.0021554,p0194
0.91439,0.47244,0.59096,0.25317,0.50328,0.72036,0.52527,0.0022666,p0195
1.1833,0.99984,0.13712,0.68339,0.27847,0.70278,0.18758,0.0021353,p0196
1.1124,0.36796,0.25708,0.24594,0.46435,0.44694,0.54269,0.0018531,p0197
1.1719,0.74372,0.77519,0.32764,0.71448,0.42623,0.61771,0.0026476,p0198
1.087,0.027322,0.85469,0.43096,0.58192,0.14571,0.209,0.00021532,p0199
0.89901,0.69631,0.33445,0.80195,0.19383,0.54152,0.75961,0.0029984,p0200
0.89749,0.82714,0.48897,0.8693,0.31488,0.236,0.24983,0.00015626,p0201
0.87932,0.45813,0.54103,0.49439,0.31191,0.29602,0.7425,0.0023149,p0202
1.1616,0.083773,0.66229,0.56807,0.37763,0.40599,0.4765,0.0024343,p0203
0.88165,0.44556,0.34554,0.4431,0.21964,0.55505,0.11755,0.0028187,p0204
1.0098,0.025251,0.5302,0.20303,0.6759,0.83353,0.8028,0.0011602,p0205
0.97596,0.42284,0.67208,0.15483,0.8151,0.69673,0.44238,0.00080918,p0206
1.0424,0.9897,0.16037,0.30768,0.27352,0.77936,0.8613,0.00058522,p0207
1.1065,0.12619,0.28384,0.57497,0.41714,0.29458,0.53691,0.0025184,p0208
1.0849,0.67754,0.59848,0.51418,0.53468,0.25429,0.78603,0.00043498,p0209
0.98091,0.79302,0.65059,0.60878,0.53187,0.84234,0.52812,0.0010199,p0210
1.0894,0.68436,0.89851,0.78345,0.10857,0.65202,0.21952,0.00036183,p0211
0.95679,0.39059,0.40672,0.75673,0.69883,0.55657,0.13596,0.00051714,p0212
1.0377,0.27379,0.51822,0.19022,0.11726,0.35894,0.87284,0.00087724,p0213
1.0452,0.055754,0.87113,0.37027,0.85198,0.79223,0.64864,0.0026102,p0214
1.1746,0.82082,0.24421,0.17554,0.20232,0.49032,0.73349,0.0026133,p0215
1.1783,0.66018,0.11116,0.43277,0.59619,0.56969,0.62165,0.002933,p0216
1.1708,0.51452,0.4205,0.84561,0.8919,0.81385,0.88338,0.0018511,p0217
1.0566,0.24061,0.45787,0.2264,0.82028,0.27788,0.49361,0.0028528,p0218
0.85089,0.020142,0.5722,0.3897,0.63968,0.59497,0.7376,0.0022338,p0219
0.80435,0.70384,0.4869,0.2786,0.46747,0.11596,0.48423,0.002126,p0220
0.81762,0.075807,0.73123,0.32263,0.58572,0.33746,0.39151,0.0014251,p0221
1.0999,0.98136,0.39117,0.6113,0.77895,0.64508,0.82849,0.00026095,p0222
1.0861,0.94199,0.7699,0.30604,0.14863,0.64943,0.67446,8.4386e-05,p0223
0.95253,0.75973,0.52399,0.30177,0.74765,0.46273,0.29075,5.5866e-05,p0224
0.83277,0.35181,0.48286,0.12926,0.1616,0.52425,0.22289,0.0029022,p0225
0.81923,0.90594,0.56673,0.60092,0.81909,0.19672,0.17709,0.0023305,p0226
0.93563,0.88203,0.82456,0.49058,0.72062,0.50572,0.58807,0.0026801,p0227
1.1022,0.41648,0.44736,0.31664,0.29972,0.74586,0.57494,0.0020984,p0228
0.94083,0.34113,0.14384,0.59966,0.28101,0.61235,0.445,0.00030666,p0229
0.88035,0.051355,0.16198,0.14758,0.43067,0.41674,0.1622,0.0010072,p0230
0.88523,0.9061,0.3947,0.12443,0.15988,0.4924,0.4047,0.00046301,p0231
1.0575,0.80445,0.18971,0.83606,0.28004,0.58532,0.78143,0.00040039,p0232
0.8065,0.22116,0.54995,0.59668,0.47096,0.82794,0.80657,0.0027931,p0233
1.0711,0.36506,0.33689,0.35453,0.84675,0.77794,0.53586,0.00057921,p0234
1.1786,0.15838,0.52162,0.85706,0.80334,0.17541,0.6377,0.002813,p0235
1.0392,0.086761,0.62385,0.57303,0.69203,0.37979,0.15924,0.0016684,p0236
0.94611,0.61764,0.6553,0.19483,0.719,0.10887,0.46296,0.0020566,p0237
0.98635,0.85684,0.84651,0.79614,0.77816,0.62623,0.39912,0.00048871,p0238
1.062,0.21013,0.14999,0.72204,0.30622,0.88029,0.82993,0.00023186,p0239
0.97826,0.57598,0.74007,0.26629,0.79661,0.85642,0.53029,0.0019331,p0240
1.0193,0.64826,0.5526,0.36799,0.47805,0.84455,0.54052,1.4728e-05,p0241
1.1156,0.54609,0.48213,0.3723,0.21781,0.68413,0.13812,0.0017028,p0242
0.9838,0.47723,0.51515,0.55137,0.36595,0.43475,0.89702,0.0018137,p0243
0.92865,0.26749,0.19315,0.8123,0.86814,0.25335,0.30647,0.00023852,p0244
0.87246,0.33029,0.74877,0.12698,0.82325,0.43813,0.34172,7.5378e-05,p0245
1.0274,0.37293,0.75639,0.40614,0.52033,0.87344,0.51887,0.002041,p0246
0.89571,0.32217,0.8678,0.38886,0.4907,0.89961,0.21809,0.0019981,p0247
1.0175,0.56934,0.82129,0.43533,0.4873,0.24918,0.47242,0.00010364,p0248
0.81724,0.90258,0.79639,0.27399,0.12664,0.59079,0.30869,0.0021502,p0249
0.89041,0.33246,0.21402,0.74932,0.14599,0.76498,0.19354,9.1629e-05,p0250
1.0838,0.10102,0.85772,0.22814,0.80204,0.73994,0.47426,0.0016581,p0251
1.0078,0.12083,0.24282,0.61788,0.26417,0.75602,0.67678,0.0023787,p0252
0.98767,0.084745,0.53975,0.85319,0.27213,0.58378,0.41182,0.00053519,p0253
0.81177,0.019169,0.16887,0.34974,0.70354,0.26113,0.84615,0.0023972,p0254
0.86112,0.18998,0.29483,0.17856,0.49032,0.48048,0.27763,0.0019293,p0255
0.962,0.69489,0.19549,0.89693,0.3784,0.70596,0.43892,0.0026029,p0256
0.87384,0.46309,0.68767,0.26034,0.41628,0.67918,0.61372,0.0014879,p0257
1.0662,0.37993,0.89765,0.64455,0.25127,0.27196,0.8076,0.0022412,p0258
1.0251,0.79583,0.248,0.46751,0.483,0.74179,0.2479,0.00063836,p0259
1.1951,0.59782,0.61246,0.52894,0.13168,0.69876,0.52574,0.0015559,p0260
1.1377,0.72105,0.75807,0.77447,0.81016,0.12833,0.56171,0.00017451,p0261
0.82431,0.1724,0.26365,0.45194,0.6149,0.81792,0.4585,0.0013061,p0262
0.95979,0.35568,0.64766,0.63915,0.87283,0.54962,0.60522,0.00013367,p0263
0.80059,0.099768,0.41676,0.37133,0.43456,0.71739,0.39663,0.0028273,p0264
1.1424,0.78019,0.72217,0.53684,0.16744,0.8579,0.36967,0.00069003,p0265
1.1885,0.13326,0.55347,0.52477,0.66204,0.39702,0.39465,0.0023295,p0266
0.99047,0.82283,0.56438,0.62649,0.4148,0.73153,0.4149,0.0012354,p0267
1.1105,0.70666,0.39615,0.14014,0.5073,0.15008,0.30233,0.0014182,p0268
0.83836,0.46768,0.78162,0.32642,0.56714,0.62837,0.28809,0.0011255,p0269
0.91441,0.7681,0.17524,0.8232,0.10236,0.80648,0.58059,0.0014573,p0270
0.87592,0.23519,0.65322,0.85857,0.54986,0.2841,0.74326,0.0017447,p0271
1.1373,0.22762,0.36366,0.1393,0.87888,0.27517,0.26218,0.0010581,p0272
1.1763,0.97818,0.60882,0.70702,0.54817,0.21831,0.16876,0.002403,p0273
1.1043,0.65235,0.5048,0.51156,0.7854,0.72094,0.52083,0.0026915,p0274
0.90094,0.56625,0.43954,0.67014,0.47375,0.30884,0.79148,0.001264,p0275
1.0789,0.92789,0.70834,0.67392,0.20255,0.25817,0.4901,3.0473e-05,p0276
0.91092,0.22252,0.77572,0.84448,0.48163,0.70438,0.24354,0.0027343,p0277
0.92029,0.58091,0.66883,0.69051,0.20858,0.28255,0.24054,4.9964e-05,p0278
1.0915,0.26036,0.69034,0.75395,0.88535,0.22671,0.83227,0.0015442,p0279
0.9987,0.48059,0.89477,0.65806,0.59289,0.63646,0.26032,0.00022548,p0280
0.83488,0.66541,0.42942,0.84347,0.88181,0.2691,0.13005,0.0021738,p0281
1.0236,0.94559,0.51656,0.81683,0.23855,0.86974,0.18008,0.0016304,p0282
0.93605,0.57021,0.70689,0.50417,0.79412,0.57875,0.49637,0.0017919,p0283
1.0115,0.52299,0.27657,0.42024,0.58717,0.18417,0.34879,0.0015732,p0284
1.0538,0.70115,0.73347,0.56284,0.32482,0.55873,0.47538,0.00098448,p0285
1.1645,0.034083,0.59196,0.28987,0.22736,0.66821,0.37212,0.0012861,p0286
1.0165,0.040433,0.7727,0.37686,0.58938,0.38817,0.57594,0.0006752,p0287
1.1857,0.19015,0.62859,0.63471,0.77383,0.40862,0.46815,0.0013407,p0288
0.91183,0.83619,0.45542,0.29575,0.69752,0.31942,0.68056,0.0012081,p0289
0.86351,0.62335,0.28403,0.81428,0.35772,0.49744,0.50279,0.0016109,p0290
0.84674,0.49503,0.10904,0.24042,0.41162,0.79402,0.88657,0.0018242,p0291
0.93876,0.1622,0.63244,0.15722,0.51919,0.28838,0.87163,0.0020467,p0292
1.1013,0.36815,0.69792,0.86035,0.88778,0.44445,0.47876,0.0025946,p0293
1.0809,0.97661,0.39248,0.61446,0.17195,0.10197,0.17994,0.00076845,p0294
1.0265,0.99448,0.46505,0.71727,0.15612,0.21248,0.71818,0.0029239,p0295
1.0138,0.88988,0.47487,0.47333,0.63143,0.68692,0.55411,0.0023058,p0296
0.92496,0.7761,0.77846,0.87929,0.13517,0.56782,0.7741,0.00044566,p0297
0.96279,0.71489,0.75359,0.20434,0.45556,0.31421,0.49131,0.0020803,p0298
0.84742,0.24776,0.82171,0.78103,0.76167,0.51281,0.7613,0.0028768,p0299
1.1868,0.20093,0.24713,0.54343,0.2048,0.15958,0.61034,0.00069869,p0300
0.82263,0.67403,0.16556,0.38189,0.29218,0.75833,0.31948,0.0029455,p0301
1.0153,0.42669,0.51254,0.40287,0.17757,0.57506,0.24171,0.0015389,p0302
0.82989,0.38903,0.28843,0.28707,0.86374,0.36998,0.29411,4.3521e-05,p0303
0.96159,0.33684,0.53535,0.29376,0.36176,0.13043,0.58383,0.00062252,p0304
1.1086,0.64403,0.52658,0.26862,0.71255,0.36152,0.24492,0.0024714,p0305
0.869,0.60979,0.29834,0.71369,0.26126,0.10964,0.61841,0.0011114,p0306
0.87492,0.55863,0.71638,0.62144,0.12426,0.27418,0.61622,0.0012447,p0307
